FID,Metro_Buff,CBG_id,Num_Metro,Bus_Buff,Num_Bus,Centroid_X,Centroid_Y,BlockGroup,BikeLength
0,1,360810383021,1,1,11,194.762078054000000,39.614326980400001,1.969154383950000,0.103459049501000
1,1,360610007001,3,1,9,185.964986396000000,37.213860751799999,0.078269722369500,0.027317378610900
2,1,360610007001,3,1,9,185.964986396000000,37.213860751799999,0.078269722369500,0.023368488042200
3,1,360610015013,0,1,13,186.301350034000000,37.335354960200000,0.043665486243800,0.026461822112300
4,1,360610008006,0,1,4,186.760199195000010,37.606044690700003,0.040757145356900,0.022705773644300
5,1,360610006002,0,1,3,186.891825032000010,37.567732119200002,0.024867572824500,0.020838539778600
6,1,360610002012,0,1,1,187.159357854000010,37.571360403000000,0.025225723696000,0.023663289233400
7,0,360610060001,0,1,5,187.669640474000000,39.218775003899999,0.022142122958000,0.041909282603300
8,0,360610060003,0,1,3,187.692929326000010,39.130504154800001,0.011913102840000,0.041909282603300
9,0,360610135001,0,1,13,186.792203346000010,41.615914484199998,0.092834958962100,0.062778406532600
10,0,360610135002,0,1,4,186.765557128000010,41.419500309900002,0.056109417029200,0.040907137669000
11,0,360610135001,0,1,13,186.792203346000010,41.615914484199998,0.092834958962100,0.040907137669000
12,0,360610135002,0,1,4,186.765557128000010,41.419500309900002,0.056109417029200,0.036305710205300
13,0,360610135001,0,1,13,186.792203346000010,41.615914484199998,0.092834958962100,0.036305710205300
14,0,360610129001,0,1,12,186.616429503000010,41.257866315000001,0.077100882977800,0.033199702792300
15,0,360610129001,0,1,12,186.616429503000010,41.257866315000001,0.077100882977800,0.042245053015400
16,0,360610129001,0,1,12,186.616429503000010,41.257866315000001,0.077100882977800,0.036493220707000
17,0,360610129002,0,1,5,186.558189594000000,41.077305273599997,0.063574226133700,0.036493220707000
18,0,360610129001,0,1,12,186.616429503000010,41.257866315000001,0.077100882977800,0.034844791760600
19,0,360610129002,0,1,5,186.558189594000000,41.077305273599997,0.063574226133700,0.034844791760600
20,0,360610129001,0,1,12,186.616429503000010,41.257866315000001,0.077100882977800,0.038877006033400
21,0,360610129002,0,1,5,186.558189594000000,41.077305273599997,0.063574226133700,0.038877006033400
22,0,360610129001,0,1,12,186.616429503000010,41.257866315000001,0.077100882977800,0.044931089330100
23,1,360610117001,0,1,5,186.440759452000010,40.919924057199999,0.071650759024300,0.044931089330100
24,1,360610117001,0,1,5,186.440759452000010,40.919924057199999,0.071650759024300,0.041587042591500
25,1,360610117001,0,1,5,186.440759452000010,40.919924057199999,0.071650759024300,0.036124904775900
26,1,360610099001,1,1,25,186.164943467999990,40.386419590099997,0.363227157187000,0.030434355436200
27,1,360610099001,1,1,25,186.164943467999990,40.386419590099997,0.363227157187000,0.021100097028400
28,1,360610099001,1,1,25,186.164943467999990,40.386419590099997,0.363227157187000,0.041931846603300
29,1,360610099001,1,1,25,186.164943467999990,40.386419590099997,0.363227157187000,0.034820773380200
30,1,360610099001,1,1,25,186.164943467999990,40.386419590099997,0.363227157187000,0.034837284658200
31,1,360610099001,1,1,25,186.164943467999990,40.386419590099997,0.363227157187000,0.035746830910900
32,1,360610099001,1,1,25,186.164943467999990,40.386419590099997,0.363227157187000,0.037580759557700
33,1,360610099001,1,1,25,186.164943467999990,40.386419590099997,0.363227157187000,0.045608171650900
34,1,360610099001,1,1,25,186.164943467999990,40.386419590099997,0.363227157187000,0.035183722781400
35,1,360610099001,1,1,25,186.164943467999990,40.386419590099997,0.363227157187000,0.034738290249900
36,1,360610099001,1,1,25,186.164943467999990,40.386419590099997,0.363227157187000,0.026573385027500
37,1,360610099001,1,1,25,186.164943467999990,40.386419590099997,0.363227157187000,0.030779870958100
38,1,360610099001,1,1,25,186.164943467999990,40.386419590099997,0.363227157187000,0.032659492528500
39,1,360610099001,1,1,25,186.164943467999990,40.386419590099997,0.363227157187000,0.031901414951600
40,1,360610079001,0,1,0,185.938898488000010,39.556547919499998,0.065787826665900,0.030135933878300
41,1,360610079001,0,1,0,185.938898488000010,39.556547919499998,0.065787826665900,0.030000595682800
42,0,360610079002,0,1,0,185.937417992000010,39.361723756799996,0.011450226744700,0.035784705164600
43,1,360610079001,0,1,0,185.938898488000010,39.556547919499998,0.065787826665900,0.035784705164600
44,1,360610075002,0,1,0,185.971371119000000,39.250170444399998,0.015779831149900,0.031634956359800
45,1,360610075001,0,1,6,185.925471918000000,39.137432018500000,0.032187724154800,0.031634956359800
46,1,360610075001,0,1,6,185.925471918000000,39.137432018500000,0.032187724154800,0.034975167377500
47,1,360610069001,0,1,2,185.880632069000000,38.895015750299997,0.086566420455100,0.037265305319400
48,1,360610069001,0,1,2,185.880632069000000,38.895015750299997,0.086566420455100,0.039900065612900
49,1,360610075001,0,1,6,185.925471918000000,39.137432018500000,0.032187724154800,0.039900065612900
